13-Jan-23 10:42:47 :: src.test_suite.interface :: find_device function executing linux shell command to get device file names :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: Connected Devices: ['/dev/ttyACM0'] :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: Chosen Device: /dev/ttyACM0 :: DEBUG
13-Jan-23 10:42:47 :: src.test_suite.interface :: 

GUI LAUNCHED

 :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: Getting the port name of device :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: find_device function executing linux shell command to get device file names :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: Connected Devices: ['/dev/ttyACM0'] :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: Chosen Device: /dev/ttyACM0 :: DEBUG
13-Jan-23 10:42:47 :: src.test_suite.interface :: Connected device path: /dev/ttyACM0 :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: class Megatron initialized :: INFO
13-Jan-23 10:42:47 :: src.test_suite.interface :: EOF :: DEBUG
13-Jan-23 10:42:47 :: matplotlib :: matplotlib data path: /home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data :: DEBUG
13-Jan-23 10:42:47 :: matplotlib :: CONFIGDIR=/home/djhunter67/.config/matplotlib :: DEBUG
13-Jan-23 10:42:47 :: matplotlib :: interactive is False :: DEBUG
13-Jan-23 10:42:47 :: matplotlib :: platform is linux :: DEBUG
13-Jan-23 10:42:47 :: matplotlib :: CACHEDIR=/home/djhunter67/.cache/matplotlib :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: Using fontManager instance from /home/djhunter67/.cache/matplotlib/fontlist-v330.json :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.pyplot :: Loaded backend tkagg version 8.6. :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 1189 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 2994 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 374 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 286 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 263 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 387 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 436 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 351 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IHDR' 16 13 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'sBIT' 41 4 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: b'sBIT' 41 4 (unknown) :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'pHYs' 57 9 :: DEBUG
13-Jan-23 10:42:47 :: PIL.PngImagePlugin :: STREAM b'IDAT' 78 364 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0. :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
13-Jan-23 10:42:47 :: matplotlib.font_manager :: findfont: score(FontEntry(fname='/home/djhunter67/Documents/work_worK_woRk_wOrk_Work/mgtron_test_suite/venv/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05 :: DEBUG
